nome,tipo,lat,lng,zip_code,city,state
SmartFit,Geral,-15.735600366153134,-48.28505658717562,72910000,ÁguasLindasdeGoiás,GO
Estação Family,Geral,-15.740898820542219,-48.269745465169045,72911199,ÁguasLindasdeGoiás,GO
Life Fit,Geral,-15.743434774901518,-48.27351088222677,72911202,ÁguasLindasdeGoiás,GO
VillaFit,TreinamentoFuncional,-15.729014754934509,-48.268505882226776,72916218,ÁguasLindasdeGoiás,GO
Evolve,Geral,-15.73559121973349,-48.27440310001786,72915705,ÁguasLindasdeGoiás,GO
World Gym,Geral,-15.74076297457914,-48.269948464435686,72911199,ÁguasLindasdeGoiás,GO
Total Fitness,Geral,-15.736039707677284,-48.290855535600016,72920539,ÁguasLindasdeGoiás,GO
R3 fitness,Geral,-15.737733210890578,-48.258512876704465,72911283,ÁguasLindasdeGoiás,GO
Strong Power,Geral,-15.739200010141078,-48.26012788222678,72911108,ÁguasLindasdeGoiás,GO
Xtreme-Fit,Geral,-15.724312118091264,-48.284822064435694,72910000,ÁguasLindasdeGoiás,GO
JEF10,Geral,-15.736460709932384,-48.284292817808925,72910000,ÁguasLindasdeGoiás,GO
FitFusion,Musculação,-15.742563793196224,-48.28445309449555,72925221,ÁguasLindasdeGoiás,GO
Ultra Academia,Geral,-15.744646048752864,-48.26331726443569,72911217,ÁguasLindasdeGoiás,GO
Bella Fitness,Geral,-15.723583372507566,-48.288895282226775,72910000,ÁguasLindasdeGoiás,GO
Leão de Judá,Geral,-15.730153700662948,-48.28764820001786,72920049,ÁguasLindasdeGoiás,GO
Vitta Corpus,Geral,-15.754429866953451,-48.263800035600006,72910145,ÁguasLindasdeGoiás,GO
Fisico Total,Geral,-15.754132076192759,-48.26297657670447,72910000,ÁguasLindasdeGoiás,GO
CT ARENA 56,Geral,-15.720881917808427,-48.27883302333124,72915250,ÁguasLindasdeGoiás,GO
SUMMER FITNESS,Geral,-15.755977139275174,-48.26507895339109,72910151,ÁguasLindasdeGoiás,GO
TOP FIT,Geral,-15.735184248500964,-48.28698650981117,72920004,ÁguasLindasdeGoiás,GO
CT RedSkin,Crossfit,-15.742918820850083,-48.267852523331236,72910000,ÁguasLindasdeGoiás,GO
Jef10,Geral,-15.729241464074265,-48.288136782226786,72910052,ÁguasLindasdeGoiás,GO
GARRA,Lutas,-15.742446437985754,-48.272925758913395,72910000,ÁguasLindasdeGoiás,GO
G11 FITNESS,Geral,-15.770283950053843,-48.28744077425614,72910000,ÁguasLindasdeGoiás,GO
Atlas Fit,Geral,-15.77943831321071,-48.2792329644357,72914508,ÁguasLindasdeGoiás,GO
Pratique Saúde,Geral,-15.717779762765623,-48.28697350554015,72917564,ÁguasLindasdeGoiás,GO
THREE FIT CLUB,Crossfit,-15.727662900157119,-48.285181217808926,72915033,ÁguasLindasdeGoiás,GO
